task,model,auc_roc,f1_withdrawn,accuracy,mae_months,r2
withdrawal,logistic_regression,0.9278524472249172,0.8502920381186597,0.8431056701030928,,
withdrawal,mlp_classifier,0.9489637349034826,0.8844431173484623,0.8753221649484536,,
timeline,ridge_regression,,,,25.2336234883217,0.4413313650234485
timeline,mlp_regressor,,,,15.10590006622021,0.8194620001998674
